K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,281384,74096,153464,7781620,1700,86224,1048572,413660,634912,475305,0,127600,5058106,23596,0,9641,0,64639519,115892812,14230579,28811113,18637266,12909596,1668169825,4508
8150928,281372,74100,153532,7781620,1708,86228,1048572,413660,634912,476299,0,127601,5058107,23596,0,9641,0,64639519,115892824,14230579,28811113,18647954,12911323,1668169825,4510
8150928,281368,74108,153560,7781620,1708,86232,1048572,413652,634920,477305,0,127603,5058107,23596,0,9641,0,64639519,115892824,14230579,28811113,18658787,12913164,1668169825,4512
8150928,281372,74108,153428,7781620,1708,86228,1048572,413652,634920,478309,0,127605,5058108,23596,0,9641,0,64639519,115892824,14230579,28811113,18669694,12915103,1668169825,4514
8150928,281368,74108,153428,7781620,1708,86232,1048572,413652,634920,479312,0,127607,5058109,23596,0,9641,0,64639523,115892828,14230580,28811113,18680447,12916754,1668169825,4517
8150928,281368,74108,153436,7781620,1708,86232,1048572,413652,634920,480316,0,127608,5058110,23596,0,9641,0,64639523,115892832,14230580,28811113,18691067,12918180,1668169825,4519
8150928,281364,74108,153452,7781620,1708,86236,1048572,413652,634920,481320,0,127609,5058110,23596,0,9641,0,64639523,115892832,14230580,28811113,18701854,12920181,1668169825,4521
8150928,281368,74108,153488,7781620,1708,86232,1048572,413652,634920,482324,0,127611,5058111,23596,0,9641,0,64639523,115892832,14230580,28811113,18712592,12921740,1668169825,4523
8150928,281372,74108,153476,7781620,1708,86228,1048572,413648,634924,483312,0,127613,5058112,23596,0,9641,0,64639531,115892832,14230582,28811113,18723056,12923202,1668169825,4525
8150928,281360,74108,153484,7781620,1708,86240,1048572,413632,634940,484315,0,127614,5058112,23596,0,9641,0,64639551,115892832,14230587,28811113,18733771,12924867,1668169825,4527
8150928,281360,74108,153532,7781620,1708,86240,1048572,413624,634948,485319,0,127616,5058113,23596,0,9641,0,64639559,115892832,14230589,28811113,18744397,12926307,1668169825,4529
8150928,281356,74108,153496,7781620,1708,86244,1048572,413624,634948,486317,0,127617,5058113,23596,0,9641,0,64639559,115892832,14230589,28811113,18754943,12927668,1668169825,4531
8150928,281360,74108,153460,7781620,1708,86240,1048572,413624,634948,487319,0,127619,5058114,23596,0,9641,0,64639559,115892832,14230589,28811113,18765607,12929406,1668169825,4533
8150928,281360,74108,153460,7781620,1708,86240,1048572,413620,634952,488323,0,127620,5058115,23596,0,9641,0,64639559,115892832,14230589,28811113,18776232,12930819,1668169825,4535
8150928,281360,74108,153424,7781620,1708,86240,1048572,413620,634952,489328,0,127622,5058115,23596,0,9641,0,64639559,115892832,14230589,28811113,18787084,12932551,1668169825,4537
8150928,281360,74108,153496,7781620,1708,86240,1048572,413620,634952,490333,0,127624,5058116,23596,0,9641,0,64639559,115892832,14230589,28811113,18797983,12934378,1668169825,4539
8150928,281360,74108,153464,7781620,1708,86240,1048572,413620,634952,491325,0,127625,5058116,23596,0,9641,0,64639559,115892832,14230589,28811113,18808511,12935865,1668169825,4541
8150928,281356,74108,153500,7781620,1708,86244,1048572,413620,634952,492329,0,127626,5058117,23596,0,9641,0,64639559,115892832,14230589,28811113,18819180,12937344,1668169825,4543
8150928,281360,74108,153500,7781620,1708,86240,1048572,413620,634952,493334,0,127628,5058118,23596,0,9641,0,64639559,115892832,14230589,28811113,18829941,12939231,1668169825,4545
8150928,281360,74108,153500,7781620,1708,86240,1048572,413620,634952,494339,0,127629,5058119,23596,0,9641,0,64639559,115892832,14230589,28811113,18840593,12940680,1668169825,4547
8150928,281360,74108,153460,7781620,1708,86240,1048572,413620,634952,495344,0,127631,5058119,23596,0,9641,0,64639559,115892832,14230589,28811113,18851269,12942182,1668169825,4549
8150928,281360,74108,153496,7781620,1708,86240,1048572,413620,634952,496350,0,127632,5058120,23596,0,9641,0,64639559,115892832,14230589,28811113,18862008,12943811,1668169825,4551
8150928,281356,74108,153468,7781620,1708,86244,1048572,413620,634952,497355,0,127633,5058121,23596,0,9641,0,64639559,115892832,14230589,28811113,18872689,12945338,1668169825,4553
8150928,281360,74108,153496,7781620,1708,86240,1048572,413620,634952,498359,0,127635,5058122,23596,0,9641,0,64639559,115892832,14230589,28811113,18883325,12946802,1668169825,4555
8150928,278944,76464,147988,7781172,3000,87812,1048572,412420,636152,498941,0,127642,5058530,23597,0,9642,0,64645107,115892832,14230923,28811113,18890851,12950056,1668169825,4564
