K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,3085260,94728,2953020,4975160,2392,88116,1048572,461656,586916,281096,0,68919,4910733,10642,0,4497,0,29403975,57953200,6418299,14329015,10779353,8036086,1668169827,3932
8150928,7653352,127964,7434284,445952,988,50636,1048572,767208,281364,281460,0,69615,4910739,10642,0,4533,0,29439747,58581568,6419732,14486094,10834414,8075802,1668169827,3934
8150928,7610596,542380,7021392,467184,1564,71584,1048572,557436,491136,281734,0,70063,4910741,10808,0,4572,0,30057491,58926452,6568766,14572293,10925852,8146847,1668169827,3937
8150928,5596388,96008,5439536,2484228,1564,68748,1048572,455112,593460,282035,0,70560,4910743,10911,0,4612,0,30319631,59664360,6624498,14756737,10994849,8185050,1668169827,3940
8150928,8004072,131212,7795464,103556,924,42376,1048572,918032,130540,282500,0,70969,4910743,10999,0,4647,0,30468831,60263332,6659061,14906469,11044066,8207138,1668169827,3943
8150928,7290772,96232,7138740,785460,1556,73140,1048572,476080,572492,283000,0,71310,4910754,11090,0,4662,0,30563795,60438692,6671778,14950279,11066706,8227432,1668169827,3946
8150928,4447336,71352,4316108,3636236,1488,65868,1048572,455488,593084,283257,0,71800,4910769,11221,0,4726,0,30771175,61157796,6711012,15130015,11114832,8261300,1668169827,3949
8150928,8008416,3655800,4270360,103776,1056,37680,1048572,671912,376660,283929,0,72133,4910774,11221,0,4739,0,30793027,61375392,6711333,15184414,11138491,8265574,1668169827,3951
8150928,4103056,1111640,2936924,3981348,1512,65012,1048572,853680,194892,284275,0,72543,4910779,11375,0,4793,0,31195931,62055764,6798816,15354468,11198849,8297679,1668169827,3955
8150928,7996188,3884468,4025748,119240,912,34588,1048572,729840,318732,284833,0,72852,4910781,11440,0,4818,0,31596763,62299804,6896005,15415478,11246111,8331714,1668169827,3957
8150928,5892020,3280000,2563632,2189972,1460,67476,1048572,496024,552548,285232,0,73230,4910802,11573,0,4853,0,31892495,62757776,6958510,15529931,11306672,8374570,1668169827,3960
8150928,7762620,4164304,3496444,350120,944,37244,1048572,1046480,2092,285695,0,73681,4910811,11719,0,4891,0,32028819,63422856,6987678,15696182,11351006,8418384,1668169827,3962
8150928,7724000,1070408,6599352,357560,1460,67908,1048572,470588,577984,286051,0,74071,4910812,11841,0,4936,0,32780203,63729620,7167051,15772852,11430906,8491225,1668169827,3965
8150928,6037128,78208,5888892,2041624,1504,70672,1048572,471256,577316,286423,0,74486,4910818,11984,0,4977,0,32980163,64460432,7205949,15955516,11478711,8523357,1668169827,3968
8150928,4412540,61572,4257184,3674092,696,63600,1048572,482228,566344,286842,0,75020,4910819,12107,0,5020,0,33223379,65228044,7256760,16147388,11533653,8557230,1668169827,3971
8150928,8009884,3574188,4352772,103028,992,37024,1048572,680952,367620,287509,0,75369,4910819,12107,0,5036,0,33278879,65465944,7267166,16206863,11566491,8566738,1668169827,3973
8150928,5288420,1842316,3385024,2792524,1484,68500,1048572,497728,550844,287659,0,75849,4910846,12340,0,5097,0,33875235,66144488,7391213,16376460,11635427,8616245,1668169827,3976
8150928,7997948,1827724,6088084,113412,964,38604,1048572,911260,137312,288224,0,76161,4910847,12456,0,5124,0,33918915,66584768,7399733,16486519,11666549,8633220,1668169827,3978
8150928,5926624,1120152,4755656,2152556,1380,70368,1048572,589828,458744,288470,0,76654,4910872,12533,0,5212,0,34683207,67042932,7577202,16601031,11739430,8706089,1668169827,3981
8150928,8004364,1981056,5944792,104744,968,40852,1048572,994712,53860,288765,0,77124,4910873,12669,0,5265,0,34999399,67744020,7651477,16776292,11809584,8754157,1668169827,3983
8150928,7946880,73588,7816392,134416,1452,68180,1048572,492996,555576,289377,0,77472,4910874,12669,0,5273,0,35084791,67824352,7658666,16796346,11835736,8762750,1668169827,3986
8150928,7954948,3958884,3920468,138708,984,56288,1048572,1005544,43028,289665,0,77894,4910931,12828,0,5324,0,35367635,68554456,7710179,16978854,11883543,8788587,1668169827,3988
8150928,8003792,3706896,4217312,105500,968,40668,1048572,754292,294280,290302,0,78248,4910932,12896,0,5346,0,35580619,68822164,7756997,17045758,11922922,8810142,1668169827,3991
8150928,232168,81732,75788,7846380,1392,70988,1048572,460944,587628,290542,0,78696,4910987,13060,0,5394,0,35973339,69260444,7843723,17155289,11976446,8862889,1668169827,3994
