K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,8001232,59000,7869008,102560,968,46168,1048572,853384,195188,291067,0,79275,4912953,13177,0,5417,0,36000219,69658456,7845330,17254769,12020219,8881429,1668169827,4001
8150928,6701180,2839304,3812808,1379832,1336,68580,1048572,884268,164304,291260,0,79825,4912967,13309,0,5467,0,36362695,70215424,7926059,17393989,12078172,8930163,1668169827,4004
8150928,5386792,88384,5235652,2690520,1384,72232,1048572,472560,576012,291521,0,80286,4912988,13451,0,5518,0,36752623,70749384,8012525,17527455,12132055,8995785,1668169827,4007
8150928,8002464,1637596,6284956,107644,956,39864,1048572,1048560,12,292184,0,80619,4912988,13451,0,5553,0,36796811,71351580,8019224,17677993,12167907,9005386,1668169827,4009
8150928,7340292,87188,7196600,734612,1512,74512,1048572,452704,595868,292816,0,80920,4912990,13473,0,5562,0,36946943,71436760,8043571,17699259,12202373,9029466,1668169827,4012
8150928,8014976,3585996,4341316,102496,284,33172,1048572,1048572,0,293132,0,81362,4912994,13653,0,5616,0,37237367,72284332,8110471,17911134,12264694,9058494,1668169827,4014
8150928,7701288,1260300,6387720,381168,1452,67020,1048572,477432,571140,293584,0,81680,4913005,13771,0,5648,0,37754823,72365876,8227465,17931498,12315467,9103323,1668169827,4017
8150928,4346248,1899236,2382276,3737160,1092,66428,1048572,530856,517716,293894,0,82207,4913011,13919,0,5704,0,38069135,73168684,8293155,18132159,12377689,9137218,1668169827,4020
8150928,8000936,3555824,4365660,109100,996,39896,1048572,852120,196452,294538,0,82519,4913015,13932,0,5737,0,38158183,73561624,8312456,18230394,12411540,9157894,1668169827,4022
8150928,6141688,594940,5492504,1938904,1476,68860,1048572,468676,579896,294795,0,82984,4913028,14112,0,5783,0,38481239,73847124,8382868,18301728,12470747,9198225,1668169827,4025
8150928,8016744,3543940,4384236,102496,244,31444,1048572,1048572,0,295290,0,83404,4913050,14155,0,5825,0,38666499,74574988,8423938,18483675,12522245,9216412,1668169827,4027
8150928,6870460,2747052,4071368,1210012,1552,68904,1048572,475432,573140,295550,0,83780,4913081,14375,0,5863,0,39345543,74730688,8578591,18522579,12595760,9291198,1668169827,4030
8150928,4694036,2556428,2074744,3390780,1408,64704,1048572,931288,117284,295868,0,84231,4913098,14573,0,5907,0,39542791,75428800,8616044,18697067,12641057,9322726,1668169827,4032
8150928,8007988,3783616,4140292,105176,980,36784,1048572,690664,357908,296371,0,84615,4913098,14601,0,5958,0,40022411,75643068,8733335,18750634,12694058,9363065,1668169827,4035
8150928,5031432,2173364,2787260,3050392,1484,67620,1048572,533644,514928,296554,0,85101,4913128,14784,0,6030,0,40550523,76188168,8852282,18886869,12763462,9404568,1668169827,4038
8150928,8008232,2481056,5446420,103220,992,38484,1048572,879016,169556,297142,0,85477,4913132,14800,0,6057,0,40621603,76594348,8867878,18988404,12807477,9413333,1668169827,4040
8150928,6067664,2462880,3553364,2006532,1748,74984,1048572,635036,413536,297414,0,85857,4913160,14995,0,6091,0,41106315,76803808,8972637,19040739,12879317,9485992,1668169827,4043
8150928,8007568,1949940,5978292,102584,1004,39772,1048572,1048572,0,297789,0,86302,4913160,15110,0,6140,0,41289739,77398588,9015616,19189422,12937177,9510210,1668169827,4045
8150928,8007732,3542464,4383680,104188,1056,37952,1048572,523116,525456,298344,0,86705,4913218,15167,0,6166,0,41510151,77490184,9055189,19212293,12964278,9543064,1668169827,4048
8150928,4193264,1311584,2830316,3888424,1564,67676,1048572,772868,275704,298520,0,87183,4913224,15379,0,6238,0,42098871,78390484,9175134,19437328,13034329,9590793,1668169827,4051
8150928,8006596,3790432,4134724,104812,976,38544,1048572,702864,345708,299073,0,87509,4913225,15442,0,6272,0,42443903,78634148,9258353,19498243,13086499,9632261,1668169827,4053
8150928,5563884,3788356,1720260,2517640,1560,67844,1048572,570296,478276,299363,0,87931,4913242,15611,0,6310,0,42791371,79073176,9334539,19607960,13159220,9683561,1668169827,4056
8150928,4223772,378292,3737788,3860216,1056,65884,1048572,953348,95224,299840,0,88356,4913244,15772,0,6343,0,43022363,79717056,9377820,19768890,13201887,9716034,1668169827,4058
