K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,280920,62616,176936,7762560,2484,104964,1048572,423304,625268,129648,0,42444,1150663,7583,0,3257,0,21423631,44067888,4667851,11008312,6028429,3983147,1668169842,2618
8150928,280916,62620,182660,7762560,2484,104968,1048572,423304,625268,130648,0,42446,1150664,7583,0,3257,0,21423631,44067888,4667851,11008312,6039192,3985075,1668169842,2620
8150928,280912,62628,182800,7762560,2492,104964,1048572,423304,625268,131636,0,42449,1150665,7583,0,3257,0,21423631,44067900,4667851,11008312,6049920,3987220,1668169842,2622
8150928,281164,62628,182656,7762308,2492,104964,1048572,423300,625272,132642,0,42451,1150665,7583,0,3257,0,21423631,44067904,4667851,11008312,6060771,3989206,1668169842,2624
8150928,281416,62628,182608,7762056,2492,104964,1048572,423300,625272,133645,0,42454,1150665,7583,0,3257,0,21423631,44067904,4667851,11008312,6071814,3991707,1668169842,2626
8150928,281416,62628,182604,7762056,2492,104964,1048572,423296,625276,134627,0,42456,1150665,7583,0,3257,0,21423631,44067904,4667851,11008312,6082387,3993679,1668169842,2628
8150928,281664,62628,182732,7761804,2492,104968,1048572,423296,625276,135626,0,42458,1150666,7583,0,3257,0,21423631,44067904,4667851,11008312,6093122,3995595,1668169842,2630
8150928,281920,62628,182760,7761552,2492,104964,1048572,423292,625280,136631,0,42459,1150666,7583,0,3257,0,21423663,44067904,4667859,11008312,6103909,3997512,1668169842,2632
8150928,282416,62628,182924,7761052,2492,104968,1048572,423292,625280,137636,0,42461,1150667,7583,0,3257,0,21423663,44067904,4667859,11008312,6114692,3999411,1668169842,2634
8150928,282920,62628,182968,7760548,2492,104968,1048572,423292,625280,138641,0,42463,1150667,7583,0,3257,0,21423663,44067904,4667859,11008312,6125482,4001333,1668169842,2636
8150928,283172,62628,183160,7760296,2492,104968,1048572,423288,625284,139644,0,42465,1150667,7583,0,3257,0,21423663,44067904,4667859,11008312,6136338,4003552,1668169842,2639
8150928,283420,62628,183192,7760044,2492,104972,1048572,423288,625284,140649,0,42466,1150668,7583,0,3257,0,21423663,44067904,4667859,11008312,6147238,4005752,1668169842,2641
8150928,283668,62628,183308,7759792,2492,104976,1048572,423280,625292,141655,0,42467,1150668,7583,0,3257,0,21423675,44067904,4667862,11008312,6158019,4007666,1668169842,2643
8150928,283920,62628,183412,7759540,2492,104976,1048572,423280,625292,142632,0,42469,1150668,7583,0,3257,0,21423675,44067904,4667862,11008312,6168525,4009574,1668169842,2645
8150928,284424,62628,183520,7759036,2492,104976,1048572,423280,625292,143637,0,42471,1150669,7583,0,3257,0,21423675,44067904,4667862,11008312,6179329,4011541,1668169842,2647
8150928,284676,62628,183684,7758784,2492,104976,1048572,423280,625292,144641,0,42473,1150669,7583,0,3257,0,21423675,44067904,4667862,11008312,6190120,4013490,1668169842,2649
8150928,285432,62628,183956,7758028,2492,104976,1048572,423280,625292,145644,0,42476,1150670,7583,0,3257,0,21423675,44067904,4667862,11008312,6201060,4015837,1668169842,2651
8150928,285428,62628,184048,7758028,2492,104980,1048572,423264,625308,146630,0,42477,1150670,7583,0,3257,0,21423679,44067904,4667863,11008312,6211732,4018105,1668169842,2653
8150928,285684,62628,184008,7757776,2492,104976,1048572,423264,625308,147635,0,42479,1150671,7583,0,3257,0,21423679,44067904,4667863,11008312,6222544,4020054,1668169842,2655
8150928,285936,62628,184100,7757524,2492,104976,1048572,423264,625308,148640,0,42481,1150671,7583,0,3257,0,21423679,44067904,4667863,11008312,6233338,4022013,1668169842,2657
8150928,286440,62628,184052,7757020,2492,104976,1048572,423264,625308,149645,0,42482,1150671,7583,0,3257,0,21423679,44067904,4667863,11008312,6244115,4023967,1668169842,2659
8150928,286440,62628,184104,7757020,2492,104976,1048572,423264,625308,150649,0,42483,1150672,7583,0,3257,0,21423683,44067904,4667864,11008312,6254882,4025804,1668169842,2661
8150928,286688,62628,184016,7756768,2492,104980,1048572,423264,625308,151649,0,42486,1150672,7583,0,3257,0,21423683,44067904,4667864,11008312,6265811,4028179,1668169842,2663
8150928,287196,62628,184012,7756264,2492,104976,1048572,423264,625308,152653,0,42489,1150673,7583,0,3257,0,21423683,44067904,4667864,11008312,6276665,4030248,1668169842,2665
8150928,289348,62656,175144,7756264,2492,102824,1048572,423264,625308,153332,0,42491,1150994,7583,0,3257,0,21423683,44067904,4667864,11008312,6284470,4032516,1668169842,2667
