K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,290568,65112,177536,7749792,3896,106672,1048572,422148,626424,203125,0,44861,1215312,7586,0,3259,0,21429379,44068264,4668152,11008312,6914182,4286953,1668169841,2798
8150928,290812,65116,177724,7749544,3896,106676,1048572,422148,626424,203129,0,44864,1216301,7586,0,3259,0,21429379,44068264,4668152,11008312,6915437,4289192,1668169841,2800
8150928,294908,65116,177756,7745448,3896,106676,1048572,422148,626424,203132,0,44866,1217293,7586,0,3259,0,21429379,44068264,4668152,11008312,6916315,4290816,1668169841,2802
8150928,294908,65112,177632,7745448,3896,106676,1048572,422148,626424,203134,0,44870,1218285,7586,0,3259,0,21429379,44068264,4668152,11008312,6917170,4292396,1668169841,2804
8150928,294908,65116,177772,7745448,3896,106676,1048572,422148,626424,203136,0,44873,1219277,7586,0,3259,0,21429387,44068264,4668154,11008312,6918156,4294228,1668169841,2806
8150928,294908,65112,177644,7745448,3896,106676,1048572,422148,626424,203138,0,44875,1220271,7586,0,3259,0,21429387,44068264,4668154,11008312,6919033,4295908,1668169841,2808
8150928,294904,65116,177784,7745448,3896,106680,1048572,422148,626424,203140,0,44878,1221268,7586,0,3259,0,21429387,44068264,4668154,11008312,6920006,4297817,1668169841,2810
8150928,294896,65116,177612,7745448,3896,106688,1048572,422136,626436,203143,0,44879,1222262,7586,0,3259,0,21429403,44068264,4668158,11008312,6921164,4300092,1668169841,2812
8150928,294896,65116,177748,7745448,3896,106688,1048572,422136,626436,203144,0,44881,1223261,7586,0,3259,0,21429403,44068264,4668158,11008312,6922068,4301899,1668169841,2814
8150928,294896,65112,177732,7745448,3896,106688,1048572,422136,626436,203145,0,44883,1224256,7586,0,3259,0,21429403,44068264,4668158,11008312,6922964,4303596,1668169841,2816
8150928,294892,65116,177808,7745448,3896,106692,1048572,422132,626440,203146,0,44885,1225251,7586,0,3259,0,21429403,44068264,4668158,11008312,6923899,4305300,1668169841,2818
8150928,294888,65112,177824,7745448,3896,106696,1048572,422132,626440,203147,0,44888,1226245,7586,0,3259,0,21429403,44068264,4668158,11008312,6924731,4306900,1668169841,2820
8150928,294892,65116,177720,7745448,3896,106692,1048572,422132,626440,203150,0,44891,1227238,7586,0,3259,0,21429403,44068264,4668158,11008312,6925694,4308710,1668169841,2822
8150928,294892,65116,177840,7745448,3896,106692,1048572,422128,626444,203152,0,44894,1228232,7586,0,3259,0,21429403,44068264,4668158,11008312,6926796,4310811,1668169841,2824
8150928,294892,65116,177692,7745448,3896,106692,1048572,422124,626448,203154,0,44896,1229227,7586,0,3259,0,21429403,44068264,4668158,11008312,6927708,4312476,1668169841,2826
8150928,294888,65116,177724,7745448,3896,106696,1048572,422120,626452,203155,0,44899,1230221,7586,0,3259,0,21429411,44068264,4668160,11008312,6928647,4314110,1668169841,2828
8150928,294888,65116,177964,7745448,3896,106696,1048572,422120,626452,203157,0,44901,1231215,7586,0,3259,0,21429411,44068264,4668160,11008312,6929591,4315847,1668169841,2830
8150928,294884,65116,177892,7745448,3896,106700,1048572,422120,626452,203158,0,44902,1232211,7586,0,3259,0,21429411,44068264,4668160,11008312,6930511,4317610,1668169841,2832
8150928,294888,65116,178008,7745448,3896,106696,1048572,422120,626452,203161,0,44904,1233202,7586,0,3259,0,21429411,44068264,4668160,11008312,6931504,4319436,1668169841,2834
8150928,294888,65112,178132,7745448,3896,106696,1048572,422120,626452,203165,0,44907,1234193,7586,0,3259,0,21429411,44068264,4668160,11008312,6932507,4321341,1668169841,2836
8150928,294888,65116,178244,7745448,3896,106696,1048572,422120,626452,203167,0,44910,1235187,7586,0,3259,0,21429411,44068264,4668160,11008312,6933350,4322954,1668169841,2838
8150928,294888,65116,178316,7745448,3896,106696,1048572,422120,626452,203168,0,44911,1236182,7586,0,3259,0,21429411,44068264,4668160,11008312,6934132,4324473,1668169841,2840
8150928,294884,65116,178460,7745448,3896,106700,1048572,422116,626456,203170,0,44913,1237177,7586,0,3259,0,21429415,44068264,4668161,11008312,6935039,4326253,1668169841,2842
8150928,294884,65112,178480,7745448,3896,106700,1048572,422116,626456,203172,0,44915,1238173,7586,0,3259,0,21429415,44068264,4668161,11008312,6935931,4327998,1668169841,2844
8150928,294884,65116,178516,7745448,3896,106700,1048572,422108,626464,203173,0,44918,1239168,7586,0,3259,0,21429431,44068264,4668165,11008312,6936935,4329904,1668169841,2846
