K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,291140,62700,179124,7752116,2532,105140,1048572,423236,625336,177543,0,42552,1158803,7583,0,3257,0,21423827,44068020,4667867,11008312,6555852,4104905,1668169841,2728
8150928,291380,62704,184920,7751864,2532,105152,1048572,423236,625336,178547,0,42554,1158804,7583,0,3257,0,21423827,44068024,4667867,11008312,6566530,4106711,1668169841,2730
8150928,291372,62712,184796,7751864,2540,105152,1048572,423236,625336,179550,0,42556,1158804,7583,0,3257,0,21423827,44068036,4667867,11008312,6577420,4109130,1668169841,2732
8150928,291372,62712,184820,7751864,2540,105152,1048572,423236,625336,180556,0,42557,1158804,7583,0,3257,0,21423827,44068040,4667867,11008312,6588129,4110962,1668169841,2734
8150928,291624,62708,184920,7751612,2540,105152,1048572,423236,625336,181560,0,42559,1158805,7583,0,3257,0,21423827,44068040,4667867,11008312,6598861,4112902,1668169841,2736
8150928,291628,62712,184936,7751612,2540,105148,1048572,423236,625336,182565,0,42560,1158806,7583,0,3257,0,21423827,44068040,4667867,11008312,6609537,4114719,1668169841,2738
8150928,291876,62712,184924,7751360,2540,105152,1048572,423236,625336,183570,0,42560,1158806,7583,0,3257,0,21423827,44068040,4667867,11008312,6620275,4116718,1668169841,2740
8150928,291880,62712,184944,7751360,2540,105148,1048572,423236,625336,184567,0,42562,1158807,7583,0,3257,0,21423827,44068040,4667867,11008312,6630871,4118539,1668169841,2742
8150928,292132,62712,184048,7751108,2540,105148,1048572,423236,625336,185571,0,42564,1158807,7583,0,3257,0,21423827,44068040,4667867,11008312,6641722,4121597,1668169841,2744
8150928,292132,62712,184976,7751108,2540,105148,1048572,423236,625336,186558,0,42566,1158808,7583,0,3257,0,21423827,44068040,4667867,11008312,6652259,4123431,1668169841,2746
8150928,292384,62708,184956,7750856,2540,105148,1048572,423236,625336,187559,0,42567,1158808,7583,0,3257,0,21423827,44068040,4667867,11008312,6662917,4125263,1668169841,2748
8150928,292380,62712,184964,7750856,2540,105152,1048572,423236,625336,188564,0,42568,1158808,7583,0,3257,0,21423827,44068040,4667867,11008312,6673631,4127117,1668169841,2750
8150928,292384,62708,184976,7750856,2540,105148,1048572,423236,625336,189567,0,42570,1158809,7583,0,3257,0,21423827,44068040,4667867,11008312,6684391,4128973,1668169841,2752
8150928,292384,62712,184964,7750856,2540,105148,1048572,423236,625336,190569,0,42572,1158810,7583,0,3257,0,21423827,44068040,4667867,11008312,6695176,4130844,1668169841,2754
8150928,292636,62712,184976,7750604,2540,105148,1048572,423232,625340,191558,0,42575,1158810,7583,0,3257,0,21423827,44068040,4667867,11008312,6706030,4133343,1668169841,2756
8150928,292636,62708,184880,7750604,2540,105148,1048572,423232,625340,192558,0,42577,1158811,7583,0,3257,0,21423827,44068040,4667867,11008312,6716821,4135350,1668169841,2758
8150928,292888,62708,184884,7750352,2540,105148,1048572,423232,625340,193476,0,42579,1158832,7583,0,3257,0,21423827,44068040,4667867,11008312,6726821,4137434,1668169841,2760
8150928,293136,62708,185000,7750100,2540,105152,1048572,423228,625344,194481,0,42581,1158833,7583,0,3257,0,21423827,44068040,4667867,11008312,6737642,4139381,1668169841,2762
8150928,293108,62708,185024,7750132,2540,105148,1048572,423224,625348,195393,0,42583,1158834,7583,0,3257,0,21423827,44068040,4667867,11008312,6747552,4141441,1668169841,2764
8150928,293108,62708,185008,7750132,2540,105148,1048572,423224,625348,196397,0,42584,1158835,7583,0,3257,0,21423827,44068040,4667867,11008312,6758312,4143313,1668169841,2766
8150928,293108,62708,185056,7750132,2540,105148,1048572,423224,625348,197402,0,42586,1158835,7583,0,3257,0,21423827,44068040,4667867,11008312,6769211,4145776,1668169841,2768
8150928,293604,62704,185068,7749628,2540,105156,1048572,423216,625356,198389,0,42587,1158836,7583,0,3257,0,21423851,44068040,4667873,11008312,6779790,4147641,1668169841,2770
8150928,293600,62708,185084,7749628,2540,105160,1048572,423216,625356,199393,0,42589,1158837,7583,0,3257,0,21423851,44068040,4667873,11008312,6790612,4149581,1668169841,2772
8150928,293856,62708,185068,7749376,2540,105156,1048572,423212,625360,200397,0,42591,1158837,7583,0,3257,0,21423851,44068040,4667873,11008312,6801401,4151556,1668169841,2774
8150928,292232,62756,176004,7753156,2540,103000,1048572,423212,625360,201103,0,42594,1159125,7583,0,3257,0,21423851,44068040,4667873,11008312,6809560,4153945,1668169841,2776
