K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8150928,2231216,83700,2106296,5827292,2468,89952,1048572,461204,587368,69730,0,21616,48091,2805,0,1556,0,12029327,21048832,2684662,5254721,2611059,1478944,1668169846,2303
8150928,7998152,61132,7868592,103100,312,49364,1048572,1020120,28452,70312,0,21965,48110,2929,0,1573,0,12039199,21634560,2685278,5401142,2635002,1482850,1668169846,2305
8150928,7964392,674520,7239492,117784,1532,67220,1048572,495776,552796,70627,0,22312,48121,3092,0,1612,0,12613283,21800804,2818537,5442679,2716000,1558816,1668169846,2308
8150928,4445692,77548,4312488,3634916,1524,68796,1048572,431064,617508,70794,0,22914,48156,3198,0,1688,0,13130707,22831408,2934529,5700289,2803638,1614252,1668169846,2311
8150928,3960228,69000,3825800,4129604,756,60340,1048572,446856,601716,71418,0,23428,48200,3370,0,1718,0,13183555,23549532,2939087,5879799,2827385,1670847,1668169846,2315
8150928,7984932,3159852,4761448,111280,1456,53260,1048572,445620,602952,72071,0,23764,48213,3370,0,1729,0,13210691,23555864,2942631,5881369,2878975,1679085,1668169846,2317
8150928,4604284,1779108,2764788,3477720,1520,67404,1048572,613376,435196,72180,0,24292,48309,3526,0,1783,0,13610927,24484972,3032501,6113607,2942827,1721263,1668169846,2320
8150928,7882116,3052412,4741260,222172,780,45860,1048572,1017276,31296,72818,0,24742,48310,3531,0,1806,0,13677363,25102460,3043114,6267979,2973709,1759294,1668169846,2322
8150928,7979956,3353684,4553680,125236,104,45632,1048572,584864,463708,73479,0,25100,48336,3556,0,1821,0,13730923,25240968,3049465,6302575,3018248,1767513,1668169846,2325
8150928,4324260,1904456,2366192,3758488,1524,66656,1048572,745988,302584,73532,0,25721,48340,3789,0,1884,0,14129411,26073588,3137851,6510690,3089192,1855097,1668169846,2328
8150928,7999660,2831304,5093800,105840,1072,44356,1048572,977232,71340,74152,0,26063,48341,3797,0,1921,0,14237647,26598832,3161244,6642000,3123157,1875273,1668169846,2331
8150928,7319920,452624,6821752,759784,1384,69840,1048572,461660,586912,74674,0,26352,48345,3955,0,1930,0,14303831,26694952,3167082,6665991,3157517,1893304,1668169846,2334
8150928,7972236,3527288,4369040,135968,852,41872,1048572,592356,456216,75199,0,26843,48346,3956,0,1937,0,14319743,26831372,3168996,6700086,3258219,1897944,1668169846,2336
8150928,6485192,441724,5977116,1597452,1396,66888,1048572,466660,581912,75633,0,27175,48368,4101,0,1961,0,14432335,27297684,3186282,6816635,3292984,1918014,1668169846,2339
8150928,4258432,276664,3938288,3822340,1348,68808,1048572,588728,459844,75979,0,27628,48378,4282,0,2011,0,14606671,28112424,3217723,7020280,3334195,1952681,1668169846,2343
8150928,7732880,337496,7347316,346784,1348,69916,1048572,479868,568704,76572,0,27952,48383,4315,0,2019,0,14761731,28149972,3256145,7029666,3407329,1970638,1668169846,2345
8150928,4619068,1861260,2713932,3462716,1672,67472,1048572,816436,232136,76847,0,28448,48403,4448,0,2070,0,14910703,29035056,3282409,7250898,3463338,2004103,1668169846,2348
8150928,8007256,2976620,4951444,103672,828,39172,1048572,797248,251324,77455,0,28728,48404,4532,0,2090,0,15018775,29369796,3306734,7334572,3494782,2018872,1668169846,2350
8150928,5651204,2786852,2813360,2430744,1200,67780,1048572,678584,369988,77642,0,29175,48443,4741,0,2135,0,15512535,29751532,3418466,7429976,3559579,2077856,1668169846,2353
8150928,4382832,64608,4258692,3703092,1304,63700,1048572,483060,565512,78113,0,29669,48444,4840,0,2179,0,15845931,30394112,3489719,7590581,3620282,2119875,1668169846,2357
8150928,7954392,69224,7836924,124788,1304,70444,1048572,482208,566364,78749,0,30013,48469,4840,0,2180,0,15854835,30394116,3490278,7590582,3678045,2123300,1668169846,2359
8150928,6038428,803096,5174992,2043996,1396,67108,1048572,482320,566252,79075,0,30438,48480,4989,0,2222,0,16050315,31033468,3528540,7750381,3711591,2154946,1668169846,2362
8150928,4308024,219596,4014840,3772144,1380,69380,1048572,558568,490004,79527,0,30848,48484,5192,0,2273,0,16181199,31762760,3547509,7932663,3752641,2188662,1668169846,2365
8150928,214772,67264,85380,7859532,1380,75244,1048572,449000,599572,79786,0,31004,49022,5208,0,2285,0,16305147,31762760,3577208,7932663,3766467,2207323,1668169846,2367
