K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,221808,13704,165724,7510604,3832,101452,0,0,0,509995,698,71680,658338,4031,0,13,248,2949132,2182169,0,0,2614381,675569,1668269575,5846
7837696,221860,13708,165904,7510352,3840,101644,0,0,0,510999,698,71680,658338,4031,0,13,248,2949132,2182341,0,0,2616941,675752,1668269575,5848
7837696,222364,13712,165884,7509848,3848,101636,0,0,0,512003,698,71680,658338,4031,0,13,248,2949132,2182369,0,0,2619480,675909,1668269575,5850
7837696,222356,13720,165904,7509848,3848,101644,0,0,0,513007,698,71680,658338,4031,0,13,248,2949132,2182417,0,0,2622030,676065,1668269575,5852
7837696,222852,13728,165880,7509344,3856,101644,0,0,0,514012,698,71680,658338,4031,0,13,249,2949132,2182429,0,0,2624574,676228,1668269575,5854
7837696,223340,13736,165936,7508840,3872,101644,0,0,0,515016,698,71680,658338,4031,0,13,249,2949132,2182465,0,0,2627131,676427,1668269575,5857
7837696,223588,13752,165896,7508588,3872,101648,0,0,0,516020,698,71680,658338,4031,0,13,249,2949132,2182477,0,0,2629679,676598,1668269575,5859
7837696,224332,13760,165988,7507836,3880,101648,0,0,0,517024,698,71681,658338,4031,0,13,249,2949132,2182497,0,0,2632249,676836,1668269575,5862
7837696,224324,13776,165888,7507836,3888,101648,0,0,0,518027,698,71681,658338,4031,0,13,249,2949132,2182521,0,0,2634791,676989,1668269575,5864
7837696,224820,13784,165872,7507332,3896,101648,0,0,0,519032,698,71681,658338,4031,0,13,250,2949132,2182533,0,0,2637333,677141,1668269575,5866
7837696,225064,13792,165892,7507080,3904,101648,0,0,0,520036,698,71681,658338,4031,0,13,250,2949132,2182549,0,0,2639882,677311,1668269575,5868
7837696,225556,13800,165872,7506576,3912,101652,0,0,0,521041,698,71681,658338,4031,0,13,250,2949132,2182561,0,0,2642425,677462,1668269575,5870
7837696,226052,13816,165884,7506072,3920,101652,0,0,0,522044,698,71681,658338,4031,0,13,250,2949132,2182581,0,0,2645030,677757,1668269575,5872
7837696,226044,13824,165972,7506072,3928,101652,0,0,0,523049,698,71681,658338,4031,0,13,250,2949132,2182613,0,0,2647576,677927,1668269575,5874
7837696,226540,13832,165956,7505568,3936,101652,0,0,0,524054,698,71681,658338,4031,0,13,250,2949132,2182625,0,0,2650121,678075,1668269575,5876
7837696,226784,13840,165860,7505316,3944,101652,0,0,0,525057,698,71681,658338,4031,0,13,251,2949132,2182641,0,0,2652665,678245,1668269575,5878
7837696,227280,13844,165980,7504812,3952,101652,0,0,0,526061,698,71681,658338,4031,0,13,251,2949132,2182653,0,0,2655210,678392,1668269575,5880
7837696,227772,13864,165880,7504308,3960,101656,0,0,0,527065,698,71681,658338,4031,0,13,251,2949132,2182673,0,0,2657754,678564,1668269575,5882
7837696,227280,13868,165876,7504792,3968,101656,0,0,0,528068,698,71681,658338,4031,0,13,251,2949132,2182693,0,0,2660324,678791,1668269575,5884
7837696,227524,13876,165896,7504540,3976,101656,0,0,0,529072,698,71682,658338,4031,0,13,251,2949132,2182717,0,0,2662941,679115,1668269575,5886
7837696,227748,13888,165888,7504308,3984,101656,0,0,0,530076,698,71683,658338,4031,0,13,251,2949132,2182729,0,0,2665497,679310,1668269575,5889
7837696,227508,13892,165796,7504540,3992,101656,0,0,0,531081,698,71683,658338,4031,0,13,252,2949132,2182745,0,0,2668041,679475,1668269575,5891
7837696,227472,13904,165980,7504564,4000,101660,0,0,0,532085,698,71683,658338,4031,0,13,252,2949132,2182757,0,0,2670585,679618,1668269575,5893
7837696,227480,13924,165884,7504544,4012,101660,0,0,0,533088,698,71683,658338,4031,0,13,252,2949132,2182777,0,0,2673128,679781,1668269575,5895
7837696,223052,13940,156828,7511116,4020,99508,0,0,0,533725,698,71684,658703,4031,0,13,252,2949132,2182805,0,0,2674801,679991,1668269575,5897
