K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,1744004,202660,1760724,5724496,20576,348620,0,0,0,419878,698,53356,569765,3968,0,11,214,1758784,2115485,0,0,1541827,520210,1668269575,5358
7837696,7479328,101100,7474344,124300,14972,219096,0,0,0,420570,698,53670,569765,3968,0,11,214,1759148,2115653,0,0,1544409,520501,1668269575,5360
7837696,6947548,4112,6870748,834356,1620,54172,0,0,0,421317,698,53930,569766,3969,0,11,214,1777012,2115725,0,0,1586404,521784,1668269575,5363
7837696,6349980,3612,6259844,1434852,1480,51384,0,0,0,422045,698,54208,569766,3969,0,11,214,1791980,2116721,0,0,1622846,523208,1668269575,5366
7837696,5645840,3592,5568244,2138760,1516,51580,0,0,0,422747,698,54510,569767,3969,0,11,215,1807164,2117745,0,0,1672083,524741,1668269575,5369
7837696,4650708,3692,4553516,3132156,1556,53276,0,0,0,423461,698,54792,569767,3969,0,11,215,1829593,2118929,0,0,1720248,526398,1668269575,5374
7837696,3745260,3804,3620844,4039304,1524,51608,0,0,0,424247,698,55012,569767,3969,0,11,215,1845185,2119985,0,0,1728173,527763,1668269575,5377
7837696,6869176,6432,6799408,899372,1532,67616,0,0,0,424909,698,55353,569767,3969,0,11,215,1862439,2120029,0,0,1777965,531233,1668269575,5379
7837696,6280636,3872,6198028,1504544,1552,50964,0,0,0,425665,698,55604,569767,3969,0,11,216,1880471,2121033,0,0,1781107,532718,1668269575,5383
7837696,5784780,4176,5695712,1999528,2068,51320,0,0,0,426432,698,55842,569767,3970,0,11,216,1896395,2122049,0,0,1784132,533748,1668269575,5386
7837696,5280008,3696,5191180,2504780,1580,51328,0,0,0,427202,698,56077,569768,3970,0,11,216,1911947,2123113,0,0,1787113,535069,1668269575,5389
7837696,4496016,4176,4406696,3288932,1572,51176,0,0,0,427980,698,56306,569768,3970,0,11,216,1927239,2124193,0,0,1790133,536488,1668269575,5392
7837696,4717432,3696,4594812,3070496,1552,48216,0,0,0,428784,698,56517,569769,3970,0,11,217,1939615,2125233,0,0,1796915,537942,1668269575,5394
7837696,7229892,4660,7134016,554764,1564,51476,0,0,0,429533,698,56773,569769,3970,0,11,217,1942615,2125273,0,0,1840815,538274,1668269575,5397
7837696,6547992,3688,6452748,1236844,1520,51340,0,0,0,430274,698,57038,569770,3970,0,11,217,1958367,2126361,0,0,1888913,539909,1668269575,5400
7837696,6027212,3600,5937900,1757364,1516,51604,0,0,0,431035,698,57282,569770,3970,0,11,217,1974091,2127445,0,0,1891885,541352,1668269575,5403
7837696,5501028,3592,5414176,2283900,1516,51252,0,0,0,431805,698,57518,569771,3971,0,11,218,1989607,2128477,0,0,1894861,542814,1668269575,5406
7837696,4832632,3572,4742384,2951936,1516,51612,0,0,0,432577,698,57752,569771,3971,0,11,218,2007275,2129565,0,0,1897896,544424,1668269575,5409
7837696,3872476,3652,3784496,3911824,1520,51876,0,0,0,433370,698,57964,569772,3971,0,11,218,2022783,2130677,0,0,1900872,545985,1668269575,5412
7837696,7492404,4776,7411556,290356,1528,53408,0,0,0,434191,698,58146,569772,3971,0,11,219,2023603,2130729,0,0,1903436,546233,1668269575,5414
7837696,6650880,4092,6583376,1113832,1676,71308,0,0,0,434866,698,58474,569773,3971,0,11,219,2050499,2131841,0,0,1949426,548705,1668269575,5418
7837696,6117684,3968,6030228,1665756,2020,52236,0,0,0,435645,698,58700,569774,3971,0,11,219,2066687,2132917,0,0,1952428,550202,1668269575,5421
7837696,5601852,3596,5510772,2182428,1552,51864,0,0,0,436410,698,58939,569775,3972,0,11,219,2082179,2134013,0,0,1955425,551670,1668269575,5424
7837696,5057980,3584,4970136,2726424,1536,51756,0,0,0,437192,698,59164,569776,3972,0,11,220,2097907,2135169,0,0,1958441,553170,1668269575,5427
7837696,217608,5012,115120,7567292,1544,51252,0,0,0,437660,698,59297,570176,3973,0,11,220,2099435,2135221,0,0,1960073,553423,1668269575,5429
