K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,213972,13092,160600,7519900,3672,100152,0,0,0,284208,460,43959,426262,3414,0,8,169,1539026,1972065,0,0,1125914,411678,1668269575,3718
7837696,213968,13096,160668,7519900,3680,100148,0,0,0,285211,460,43959,426262,3414,0,8,169,1539026,1972109,0,0,1128458,411834,1668269575,3720
7837696,213960,13104,160692,7519900,3680,100156,0,0,0,286215,460,43959,426262,3414,0,8,169,1539026,1972113,0,0,1130999,411979,1668269575,3722
7837696,213936,13128,160804,7519900,3704,100156,0,0,0,287219,460,43959,426262,3414,0,8,170,1539026,1972277,0,0,1133559,412172,1668269575,3725
7837696,214184,13136,160692,7519652,3704,100156,0,0,0,288222,460,43960,426262,3414,0,8,170,1539026,1972277,0,0,1136126,412392,1668269575,3728
7837696,214176,13144,160708,7519652,3712,100156,0,0,0,289226,460,43960,426262,3414,0,8,170,1539026,1972289,0,0,1138664,412547,1668269575,3730
7837696,214164,13152,160736,7519652,3720,100160,0,0,0,290230,460,43960,426262,3414,0,8,170,1539026,1972341,0,0,1141216,412716,1668269575,3732
7837696,214156,13160,160732,7519652,3728,100160,0,0,0,291235,460,43960,426262,3414,0,8,170,1539026,1972369,0,0,1143769,412923,1668269575,3734
7837696,214148,13168,160708,7519652,3736,100160,0,0,0,292239,460,43960,426262,3414,0,8,170,1539026,1972393,0,0,1146310,413069,1668269575,3736
7837696,214140,13176,160720,7519652,3744,100160,0,0,0,293243,460,43960,426262,3414,0,8,171,1539026,1972405,0,0,1148846,413220,1668269575,3738
7837696,214132,13184,160716,7519652,3752,100160,0,0,0,294246,460,43960,426262,3414,0,8,171,1539026,1972417,0,0,1151387,413387,1668269575,3740
7837696,214144,13880,162036,7517636,4056,101860,0,0,0,295250,460,43961,426262,3414,0,8,171,1540986,1972469,0,0,1154017,413764,1668269575,3745
7837696,214136,13880,162004,7517636,4064,101860,0,0,0,296254,460,43961,426262,3414,0,8,171,1540986,1972505,0,0,1156561,413928,1668269575,3747
7837696,214136,13888,161992,7517636,4064,101860,0,0,0,297257,460,43961,426262,3414,0,8,171,1540986,1972505,0,0,1159101,414076,1668269575,3749
7837696,214128,13896,162004,7517636,4072,101860,0,0,0,298262,460,43961,426262,3414,0,8,172,1540986,1972553,0,0,1161656,414240,1668269575,3751
7837696,214372,13904,161988,7517384,4080,101860,0,0,0,299267,460,43961,426262,3414,0,8,172,1540986,1972573,0,0,1164200,414410,1668269575,3753
7837696,214868,13912,162128,7516880,4088,101860,0,0,0,300271,460,43962,426262,3414,0,8,172,1540986,1972585,0,0,1166760,414633,1668269575,3756
7837696,214856,13916,162136,7516880,4096,101864,0,0,0,301276,460,43962,426262,3414,0,8,172,1540986,1972597,0,0,1169305,414797,1668269575,3758
7837696,214848,13928,162148,7516880,4104,101864,0,0,0,302280,460,43962,426262,3414,0,8,172,1540986,1972777,0,0,1171886,415000,1668269575,3760
7837696,215088,13936,162132,7516628,4112,101868,0,0,0,303285,460,43962,426262,3414,0,8,172,1540986,1972789,0,0,1174432,415165,1668269575,3762
7837696,215332,13944,162144,7516376,4120,101868,0,0,0,304289,460,43962,426262,3414,0,8,173,1540986,1972813,0,0,1176974,415323,1668269575,3764
7837696,215824,13952,162124,7515876,4128,101868,0,0,0,305294,460,43962,426262,3414,0,8,173,1540986,1972833,0,0,1179517,415482,1668269575,3766
7837696,215812,13960,162148,7515876,4136,101872,0,0,0,306297,460,43962,426262,3414,0,8,173,1540986,1972857,0,0,1182062,415640,1668269575,3768
7837696,216056,13968,162140,7515624,4144,101872,0,0,0,307302,460,43962,426262,3414,0,8,173,1540986,1972877,0,0,1184647,415884,1668269575,3770
7837696,218456,14068,153128,7515372,4152,99716,0,0,0,307944,460,43962,426623,3414,0,8,173,1540986,1972901,0,0,1186375,416127,1668269575,3772
