K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
7837696,3411280,417812,3561980,3684796,31748,709872,0,0,0,8694,460,2293,156711,3312,0,5,64,373810,1902409,0,0,125094,170180,1668269575,2639
7837696,1635696,420424,1797392,5459488,32476,710036,0,0,0,86556,460,13136,169265,3319,0,6,86,374106,1904557,0,0,353593,191492,1668269575,2795
7837696,4388032,420428,4561424,2707144,32484,710036,0,0,0,87408,460,13287,169265,3319,0,6,87,374106,1904617,0,0,356137,191660,1668269575,2797
7837696,4388784,420436,4561412,2706392,32484,710036,0,0,0,88412,460,13287,169265,3319,0,6,87,374106,1904617,0,0,358676,191812,1668269575,2799
7837696,4388776,420440,4561412,2706392,32492,710036,0,0,0,89416,460,13287,169265,3319,0,6,87,374106,1904629,0,0,361216,191960,1668269575,2801
7837696,4389020,420452,4561436,2706140,32500,710036,0,0,0,90420,460,13287,169265,3319,0,6,87,374106,1904645,0,0,363759,192122,1668269575,2803
7837696,3338152,420460,3478200,3756996,32508,710040,0,0,0,90996,460,13715,169265,3319,0,6,88,374106,1904657,0,0,366301,192301,1668269575,2805
7837696,1592236,420468,1753664,5502904,32516,710040,0,0,0,91865,460,13850,169265,3319,0,6,88,374106,1904757,0,0,368856,192506,1668269575,2807
7837696,3157400,420476,3318780,3937732,32524,710040,0,0,0,92778,460,13941,169265,3319,0,6,88,374106,1904793,0,0,371400,192685,1668269575,2809
7837696,4387400,420484,4561484,2707724,32532,710040,0,0,0,93718,460,14007,169265,3319,0,6,88,374106,1904861,0,0,373959,192858,1668269575,2811
7837696,4387888,420500,4561468,2707220,32548,710040,0,0,0,94721,460,14007,169265,3319,0,6,89,374106,1904893,0,0,376510,193048,1668269575,2814
7837696,2156924,420500,2310288,4938180,32548,710044,0,0,0,95656,460,14075,169265,3319,0,6,89,374106,1904893,0,0,379048,193207,1668269575,2816
7837696,4389568,420508,4561536,2705528,32556,710044,0,0,0,96203,460,14532,169265,3319,0,6,89,374106,1904905,0,0,381592,193384,1668269575,2818
7837696,4389812,420524,4561540,2705276,32564,710044,0,0,0,97206,460,14533,169265,3319,0,6,89,374106,1904917,0,0,384157,193629,1668269575,2821
7837696,4390056,910748,4071212,2705024,32572,710044,0,0,0,98202,460,14541,169265,3319,0,6,90,374106,1904929,0,0,386701,193801,1668269575,2823
7837696,4390052,420540,4561512,2705020,32580,710044,0,0,0,98908,460,14840,169265,3319,0,6,90,374106,1904949,0,0,389248,194045,1668269575,2825
7837696,2343184,420548,2513680,4751880,32588,710044,0,0,0,99890,460,14861,169265,3319,0,6,90,374106,1904981,0,0,391796,194219,1668269575,2827
7837696,4357016,420556,4527576,2738036,32596,710048,0,0,0,100675,460,15081,169265,3319,0,6,90,374106,1904993,0,0,394341,194394,1668269575,2829
7837696,2876904,420564,3036824,4218140,32604,710048,0,0,0,101322,460,15439,169265,3319,0,6,91,374106,1905005,0,0,396886,194602,1668269575,2831
7837696,4392312,420572,4561620,2702724,32612,710048,0,0,0,102086,460,15678,169265,3319,0,6,91,374106,1905017,0,0,399428,194766,1668269575,2833
7837696,2809216,420580,2968544,4285812,32620,710048,0,0,0,102990,460,15778,169265,3319,0,6,91,374106,1905029,0,0,401973,194936,1668269575,2835
7837696,4929032,420588,5085816,2165988,32628,710048,0,0,0,103897,460,15876,169265,3319,0,6,91,374106,1905041,0,0,404513,195082,1668269575,2837
7837696,4929272,420596,5085860,2165736,32636,710052,0,0,0,104901,460,15876,169265,3319,0,6,91,374106,1905065,0,0,407059,195248,1668269575,2839
7837696,3379204,420604,3525948,3715796,32644,710052,0,0,0,105879,460,15902,169265,3319,0,6,92,374106,1905093,0,0,409606,195425,1668269575,2841
7837696,4661716,420612,4823708,2433276,32652,710052,0,0,0,106846,460,15939,169265,3319,0,6,92,374106,1905105,0,0,412150,195585,1668269575,2843
7837696,249540,420636,364556,6847608,32660,707888,0,0,0,107471,460,15968,169614,3319,0,6,92,374106,1905117,0,0,413966,196033,1668269575,2846
7837696,4396536,421168,4569516,2697460,32844,710856,0,0,0,132831,460,19067,321044,3321,0,6,116,374738,1906469,0,0,500142,222246,1668269575,3083
7837696,3872208,421180,4028040,3221784,32844,710860,0,0,0,133326,460,19576,321044,3321,0,6,116,374738,1906473,0,0,502688,222432,1668269575,3085
7837696,2051940,421228,2211732,5042000,32896,710860,0,0,0,150009,460,21887,321516,3321,0,6,120,374738,1906753,0,0,551039,225808,1668269575,3098
7837696,4397788,421232,4569620,2696144,32904,710860,0,0,0,150877,460,22022,321516,3321,0,6,121,374738,1906885,0,0,553591,225998,1668269575,3100
7837696,4398040,421240,4569636,2695892,32904,710860,0,0,0,151881,460,22022,321516,3321,0,6,121,374738,1906913,0,0,556136,226151,1668269575,3102
7837696,4398284,421248,4569696,2695640,32912,710860,0,0,0,152886,460,22022,321516,3321,0,6,121,374738,1906929,0,0,558680,226315,1668269575,3104
7837696,4398276,421256,4569676,2695640,32920,710860,0,0,0,153890,460,22023,321516,3321,0,6,121,374738,1906941,0,0,561228,226485,1668269575,3106
7837696,3857876,421264,4013464,3236028,32928,710864,0,0,0,154391,460,22525,321516,3321,0,6,122,374738,1906961,0,0,563770,226682,1668269575,3108
7837696,1523608,421272,1681416,5570288,32936,710864,0,0,0,155264,460,22658,321516,3321,0,6,122,374738,1906985,0,0,566315,226863,1668269575,3110
7837696,3089780,421288,3245836,4004108,32944,710864,0,0,0,156181,460,22746,321516,3321,0,6,122,374738,1907013,0,0,568942,227232,1668269575,3113
7837696,4395880,421296,4569544,2698000,32952,710864,0,0,0,157128,460,22802,321516,3321,0,6,122,374738,1907025,0,0,571485,227389,1668269575,3115
7837696,4396124,421304,4569544,2697748,32960,710864,0,0,0,158132,460,22802,321516,3321,0,6,123,374738,1907041,0,0,574029,227552,1668269575,3117
7837696,454144,421308,587680,6639716,32968,710868,0,0,0,159094,460,22845,321516,3321,0,6,123,374738,1907053,0,0,576629,227831,1668269575,3119
7837696,4410168,421320,4569560,2683684,32976,710868,0,0,0,159689,460,23253,321516,3321,0,6,123,374738,1907073,0,0,579173,228000,1668269575,3121
7837696,4410412,421328,4569620,2683432,32984,710868,0,0,0,160693,460,23253,321516,3321,0,6,123,374738,1907097,0,0,581716,228159,1668269575,3123
7837696,2364964,421336,2513600,4728872,32992,710868,0,0,0,161681,460,23269,321516,3321,0,6,124,374738,1907125,0,0,584261,228330,1668269575,3125
7837696,4402608,421344,4569548,2691220,33000,710868,0,0,0,162468,460,23487,321516,3321,0,6,124,374738,1907137,0,0,586807,228516,1668269575,3127
7837696,2621344,421352,2787592,4472472,33008,710872,0,0,0,163442,460,23517,321516,3321,0,6,124,374738,1907157,0,0,589350,228697,1668269575,3129
7837696,4403144,421360,4569592,2690664,33016,710872,0,0,0,164235,460,23728,321516,3321,0,6,124,374738,1907197,0,0,591901,228896,1668269575,3131
7837696,1008032,421368,1162588,6085768,33024,710872,0,0,0,164847,460,24120,321516,3321,0,6,125,374738,1907209,0,0,594450,229099,1668269575,3133
7837696,4404728,421376,4569656,2689064,33032,710872,0,0,0,165658,460,24315,321516,3321,0,6,125,374738,1907225,0,0,596997,229266,1668269575,3135
7837696,3012768,421496,3174460,4081016,33040,710872,0,0,0,166462,460,24515,321516,3321,0,6,125,374738,1907237,0,0,599559,229535,1668269575,3138
7837696,4930184,421392,5093840,2163592,33048,710872,0,0,0,167380,460,24603,321516,3321,0,6,125,374738,1907253,0,0,602106,229698,1668269575,3140
7837696,4930424,421400,5093896,2163340,33056,710876,0,0,0,168384,460,24603,321516,3321,0,6,126,374738,1907265,0,0,604647,229860,1668269575,3142
7837696,4930920,421404,5093884,2162836,33064,710876,0,0,0,169388,460,24603,321516,3321,0,6,126,374738,1907285,0,0,607192,230009,1668269575,3144
7837696,4931416,421416,5093776,2162332,33072,710876,0,0,0,170392,460,24603,321516,3321,0,6,126,374738,1907309,0,0,609737,230169,1668269575,3146
