K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8140856,330008,98456,197136,7662860,6452,141536,1637028,453496,1183532,166408,2146,38829,346629,47691,0,15762,0,31497141,50613185,7436885,12577238,4974160,4635838,1668331770,5464
8140856,329996,98460,197180,7662860,6460,141540,1637028,453496,1183532,166822,2146,38842,346629,47691,0,15773,0,31497141,50613225,7436885,12577238,4976122,4638687,1668331770,5466
8140856,330248,98468,197172,7662608,6460,141540,1637028,453496,1183532,167238,2146,38861,346629,47691,0,15782,0,31497141,50613229,7436885,12577238,4978166,4642030,1668331770,5468
8140856,330240,98476,197192,7662608,6468,141540,1637028,453496,1183532,167668,2146,38890,346630,47691,0,15790,0,31497189,50613241,7436897,12577238,4980810,4647369,1668331770,5470
8140856,330240,98476,197160,7662608,6468,141540,1637028,453496,1183532,168062,2146,38890,346630,47691,0,15800,0,31497189,50613245,7436897,12577238,4981952,4648055,1668331770,5472
8140856,330232,98480,197156,7662608,6476,141540,1637028,453496,1183532,168456,2146,38891,346630,47691,0,15810,0,31497189,50613309,7436897,12577238,4983019,4648547,1668331770,5474
8140856,330228,98480,197164,7662608,6476,141544,1637028,453496,1183532,168851,2146,38892,346630,47691,0,15818,0,31497189,50613453,7436897,12577238,4984076,4648787,1668331770,5476
8140856,330220,98492,197252,7662608,6484,141544,1637028,453496,1183532,169251,2146,38892,346630,47691,0,15824,0,31497189,50613493,7436897,12577238,4985129,4649018,1668331770,5478
8140856,330212,98496,197192,7662608,6492,141544,1637028,453240,1183788,169652,2146,38904,346630,47691,0,15833,0,31497189,50613513,7436897,12577238,4986701,4651284,1668331770,5480
8140856,330204,98500,197188,7662608,6500,141544,1637028,453240,1183788,170037,2146,38904,346630,47691,0,15843,0,31497189,50613525,7436897,12577238,4987775,4651729,1668331770,5482
8140856,330204,98508,197152,7662608,6500,141544,1637028,453240,1183788,170428,2146,38904,346630,47691,0,15850,0,31497189,50613525,7436897,12577238,4988808,4651954,1668331770,5484
8140856,330192,98512,197132,7662608,6508,141548,1637028,453240,1183788,170805,2146,38904,346630,47691,0,15857,0,31497189,50613537,7436897,12577238,4989816,4652221,1668331770,5486
8140856,330184,98516,197140,7662608,6516,141548,1637028,453240,1183788,171182,2146,38906,346630,47691,0,15868,0,31497189,50613553,7436897,12577238,4990834,4652486,1668331770,5488
8140856,330184,98524,197232,7662608,6516,141548,1637028,453240,1183788,171562,2146,38921,346632,47691,0,15874,0,31497189,50613585,7436897,12577238,4992698,4655229,1668331770,5490
8140856,330176,98532,197252,7662608,6524,141548,1637028,453240,1183788,171926,2146,38922,346632,47691,0,15887,0,31497189,50613605,7436897,12577238,4993846,4656245,1668331770,5492
8140856,330168,98540,197144,7662608,6532,141548,1637028,453240,1183788,172315,2146,38922,346632,47691,0,15898,0,31497189,50613625,7436897,12577238,4994885,4656576,1668331770,5494
8140856,330168,98540,197212,7662608,6532,141548,1637028,453240,1183788,172694,2146,38923,346632,47691,0,15910,0,31497189,50613625,7436897,12577238,4995888,4656799,1668331770,5496
8140856,330156,98548,197244,7662608,6540,141552,1637028,453240,1183788,173050,2146,38923,346632,47691,0,15919,0,31497189,50613637,7436897,12577238,4996848,4657083,1668331770,5498
8140856,330148,98556,197208,7662608,6548,141552,1637028,453240,1183788,173446,2146,38923,346632,47691,0,15930,0,31497189,50613653,7436897,12577238,4997921,4657369,1668331770,5500
8140856,330140,98564,197204,7662608,6556,141552,1637028,453240,1183788,173844,2146,38924,346632,47691,0,15934,0,31497189,50613665,7436897,12577238,4998957,4657588,1668331770,5502
8140856,330132,98572,197208,7662608,6564,141552,1637028,453240,1183788,174240,2146,38924,346632,47691,0,15946,0,31497189,50613677,7436897,12577238,5000019,4657814,1668331770,5504
8140856,330124,98580,197168,7662608,6572,141552,1637028,453240,1183788,174634,2146,38924,346632,47691,0,15952,0,31497189,50613701,7436897,12577238,5001056,4658062,1668331770,5506
8140856,330112,98584,197148,7662608,6580,141556,1637028,453240,1183788,175042,2146,38924,346632,47691,0,15960,0,31497189,50613721,7436897,12577238,5002134,4658287,1668331770,5508
8140856,330112,98588,197148,7662608,6580,141556,1637028,453240,1183788,175435,2146,38924,346632,47691,0,15966,0,31497189,50613721,7436897,12577238,5003153,4658495,1668331770,5510
8140856,332260,98636,188168,7662608,6588,139400,1637028,453240,1183788,175628,2146,38927,347148,47691,0,15970,0,31497189,50613733,7436897,12577238,5004868,4659093,1668331770,5512
