K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8140856,3864452,304368,3761396,3873992,24608,377804,1637028,428988,1208040,105495,2146,20156,241354,22217,0,6531,0,15367150,27236937,3489078,6735565,2595421,2436171,1668331770,4803
8140856,4504944,304380,4415728,3233408,24608,377896,1637028,428984,1208044,105871,2146,20167,241354,22217,0,6542,0,15367150,27237229,3489078,6735565,2596736,2437738,1668331770,4805
8140856,4423564,304388,4334732,3314780,24616,377896,1637028,428976,1208052,106247,2146,20211,241358,22217,0,6552,0,15367150,27237269,3489078,6735565,2598478,2440503,1668331770,4807
8140856,2371152,304396,2272008,5367184,24624,377896,1637028,428836,1208192,106584,2146,20387,241358,22217,0,6564,0,15367254,27237281,3489104,6735565,2602774,2449949,1668331770,4809
8140856,4501040,304404,4415832,3237288,24632,377896,1637028,428836,1208192,106948,2146,20419,241358,22217,0,6570,0,15367254,27237293,3489104,6735565,2603906,2450617,1668331770,4811
8140856,2773624,304412,2697976,4964592,24640,378000,1637028,428824,1208204,107132,2146,20584,241358,22218,0,6646,0,15367254,28445509,3489104,7037616,2611082,2452525,1668331770,4813
8140856,4485176,304420,4415800,3253116,24648,377916,1637028,428824,1208204,107473,2146,20652,241358,22218,0,6657,0,15367254,28445521,3489104,7037616,2612191,2452838,1668331770,4815
8140856,4326324,304428,4222036,3411960,24656,377916,1637028,428824,1208204,107823,2146,20696,241358,22218,0,6668,0,15367254,28445533,3489104,7037616,2613262,2453143,1668331770,4817
8140856,3510116,304436,3417140,4228216,24664,377860,1637028,428824,1208204,108075,2146,20860,241358,22224,0,6691,0,15367254,29653785,3489104,7339667,2624302,2454675,1668331770,4819
8140856,4521428,304436,4415768,3216904,24664,377860,1637028,428824,1208204,108377,2146,20955,241358,22224,0,6701,0,15367254,29653785,3489104,7339667,2625346,2454950,1668331770,4821
8140856,4774108,304444,4676056,2963040,24672,379036,1637028,1573292,63736,108637,2146,21068,241359,22227,0,6777,0,15367254,30798173,3489104,7625761,2632474,2457850,1668331770,4823
8140856,5011596,304452,4940464,2726700,24680,377880,1637028,428572,1208456,108975,2146,21112,241359,22227,0,6787,0,15367430,30862017,3489148,7641719,2633863,2458939,1668331770,4825
8140856,5011840,304460,4940316,2726448,24688,377880,1637028,428572,1208456,109370,2146,21112,241359,22227,0,6794,0,15367430,30862029,3489148,7641719,2634893,2459233,1668331770,4827
8140856,5012344,304460,4940416,2725944,24688,377880,1637028,428568,1208460,109770,2146,21122,241401,22227,0,6801,0,15367430,30862029,3489148,7641719,2636650,2462911,1668331770,4829
8140856,5012336,304468,4940404,2725944,24696,377880,1637028,428568,1208460,110172,2146,21122,241401,22227,0,6808,0,15367430,30862045,3489148,7641719,2637704,2463159,1668331770,4831
8140856,5013084,304476,4940428,2725188,24704,377880,1637028,428568,1208460,110572,2146,21122,241401,22227,0,6820,0,15367430,30862077,3489148,7641719,2638772,2463482,1668331770,4833
8140856,5013076,304484,4940316,2725188,24712,377880,1637028,428568,1208460,110962,2146,21122,241401,22227,0,6827,0,15367430,30862097,3489148,7641719,2639797,2463743,1668331770,4835
8140856,4226016,304492,4144664,3512236,24720,377884,1637028,428564,1208464,111333,2146,21150,241401,22227,0,6836,0,15367462,30862109,3489156,7641719,2640853,2464005,1668331770,4837
8140856,4486756,304500,4415996,3251488,24728,377884,1637028,428564,1208464,111688,2146,21178,241401,22227,0,6844,0,15367462,30862121,3489156,7641719,2641864,2464290,1668331770,4839
8140856,4488120,304508,4416024,3250108,24736,377892,1637028,428556,1208472,111985,2146,21288,241401,22233,0,6871,0,15367462,32070605,3489156,7943837,2653062,2465779,1668331770,4841
8140856,4488060,304516,4416116,3250160,24744,377892,1637028,428556,1208472,112364,2146,21314,241401,22233,0,6880,0,15367462,32070617,3489156,7943837,2654141,2466025,1668331770,4843
8140856,4488540,304536,4416052,3249656,24768,377892,1637028,428556,1208472,112761,2146,21314,241401,22233,0,6890,0,15367462,32070669,3489156,7943837,2655229,2466339,1668331770,4847
8140856,4488536,304540,4416232,3249656,24768,377896,1637028,428544,1208484,113184,2146,21329,241401,22233,0,6897,0,15367478,32070693,3489160,7943837,2657320,2470207,1668331770,4849
8140856,4488700,304548,4416176,3249404,24776,377976,1637028,428536,1208492,113579,2146,21331,241401,22233,0,6906,0,15367478,32070713,3489160,7943837,2658587,2471272,1668331770,4851
8140856,343840,304592,219068,7396428,24776,375812,1637028,428532,1208496,113802,2146,21348,241784,22233,0,6910,0,15367478,32070713,3489160,7943837,2661097,2474943,1668331770,4853
