K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8140856,273972,91376,112652,7773016,1044,92824,1637028,447792,1189236,43147,1789,16810,94862,21840,0,5156,0,15086814,25924505,3484501,6433604,1950412,1862922,1668331770,2533
8140856,273964,91392,112656,7773016,1044,92832,1637028,447792,1189236,43161,1789,16823,95777,21840,0,5156,0,15086862,25924505,3484513,6433604,1953631,1868485,1668331770,2535
8140856,274556,91520,113648,7772008,1060,93232,1637028,447792,1189236,43165,1789,16828,96704,21842,0,5158,0,15087822,25924533,3484674,6433604,1956460,1870094,1668331770,2544
8140856,274392,91524,114688,7771252,1068,94144,1637028,447536,1189492,43169,1789,16841,97612,21844,0,5160,0,15088914,25924553,3484700,6433604,1960985,1871925,1668331770,2548
8140856,274636,91548,114684,7771000,1076,94144,1637028,447536,1189492,43179,1789,16845,98557,21845,0,5161,0,15088950,25924585,3484709,6433604,1963285,1873519,1668331770,2550
8140856,274744,91576,114952,7770748,1084,94280,1637028,447536,1189492,43182,1789,16855,99484,21846,0,5162,0,15089178,25924597,3484755,6433604,1966711,1875298,1668331770,2560
8140856,274776,92156,115300,7770244,1532,94304,1637028,447536,1189492,43192,1789,16867,100398,21847,0,5163,0,15089962,25924609,3484817,6433604,1971906,1878336,1668331770,2566
8140856,274512,92164,115336,7770244,1540,94560,1637028,447536,1189492,43193,1789,16870,101370,21847,0,5163,0,15090043,25924629,3484817,6433604,1975141,1879203,1668331770,2568
8140856,274756,92184,115332,7769992,1548,94560,1637028,447536,1189492,43195,1789,16872,102331,21847,0,5163,0,15090043,25924649,3484817,6433604,1977324,1879771,1668331770,2570
8140856,274756,92200,115404,7769992,1548,94560,1637028,447536,1189492,43196,1789,16873,103299,21847,0,5163,0,15090043,25924649,3484817,6433604,1979166,1880065,1668331770,2572
8140856,275112,92228,115544,7769488,1568,94688,1637028,447536,1189492,43201,1789,16880,104247,21848,0,5163,0,15090211,25924693,3484826,6433604,1981731,1881473,1668331770,2578
8140856,275196,92228,115740,7769236,1576,94848,1637028,447536,1189492,43211,1789,16886,105164,21850,0,5166,0,15090379,25924705,3484827,6433604,1984069,1883881,1668331770,2582
8140856,275188,92244,115644,7769236,1576,94856,1637028,447536,1189492,43214,1789,16888,106128,21850,0,5166,0,15090379,25924705,3484827,6433604,1985944,1884486,1668331770,2584
8140856,275180,92252,115644,7769236,1584,94856,1637028,447536,1189492,43214,1789,16888,107089,21850,0,5166,0,15090379,25924737,3484827,6433604,1987501,1884793,1668331770,2586
8140856,275424,92260,115648,7768984,1592,94856,1637028,447536,1189492,43214,1789,16890,108057,21851,0,5166,0,15090379,25924757,3484827,6433604,1989026,1884998,1668331770,2588
8140856,275668,92272,115700,7768732,1600,94856,1637028,447536,1189492,43215,1789,16890,109019,21851,0,5166,0,15090379,25924777,3484827,6433604,1990479,1885217,1668331770,2590
8140856,275660,92280,115712,7768732,1608,94856,1637028,447536,1189492,43216,1789,16890,109983,21851,0,5166,0,15090379,25924793,3484827,6433604,1991922,1885426,1668331770,2592
8140856,275900,92288,115728,7768480,1616,94860,1637028,447536,1189492,43216,1789,16892,110947,21852,0,5166,0,15090379,25924805,3484827,6433604,1993448,1885652,1668331770,2594
8140856,276144,92300,115744,7768228,1624,94860,1637028,447536,1189492,43222,1789,16899,111895,21852,0,5166,0,15090383,25924817,3484828,6433604,1995411,1886991,1668331770,2598
8140856,276136,92308,115808,7768228,1632,94860,1637028,447280,1189748,43223,1789,16902,112848,21852,0,5166,0,15090471,25924829,3484850,6433604,1997079,1887655,1668331770,2600
8140856,276628,92316,115828,7767728,1640,94860,1637028,447280,1189748,43224,1789,16904,113811,21852,0,5167,0,15090471,25924841,3484850,6433604,1998639,1888085,1668331770,2602
8140856,276620,92324,115760,7767728,1648,94860,1637028,447280,1189748,43224,1789,16905,114772,21853,0,5167,0,15090471,25924865,3484850,6433604,2000192,1888354,1668331770,2605
8140856,277112,92336,115752,7767224,1656,94864,1637028,447280,1189748,43226,1789,16907,115731,21853,0,5167,0,15090471,25924889,3484850,6433604,2001810,1889100,1668331770,2609
8140856,277104,92344,115800,7767224,1664,94864,1637028,447280,1189748,43226,1789,16909,116697,21853,0,5167,0,15090471,25924901,3484850,6433604,2003360,1889654,1668331770,2611
8140856,277096,92352,115812,7767224,1672,94864,1637028,447280,1189748,43228,1789,16911,117656,21853,0,5167,0,15090471,25924913,3484850,6433604,2004940,1890161,1668331770,2613
8140856,277340,92360,115704,7766972,1680,94864,1637028,447280,1189748,43228,1789,16911,118619,21853,0,5167,0,15090471,25924925,3484850,6433604,2006390,1890349,1668331770,2615
8140856,277836,92368,115712,7766468,1688,94864,1637028,447280,1189748,43230,1789,16914,119573,21853,0,5167,0,15090471,25924937,3484850,6433604,2007958,1890834,1668331770,2619
