K total memory,K used memory,K active memory,K inactive memory,K free memory,K buffer memory,K swap cache,K total swap,K used swap,K free swap,non-nice user cpu ticks,nice user cpu ticks,system cpu ticks,idle cpu ticks,IO-wait cpu ticks,IRQ cpu ticks,softirq cpu ticks,stolen cpu ticks,pages paged in,pages paged out,pages swapped in,pages swapped out,interrupts,CPU context switches,boot time,forks
8140856,4863324,264208,5383960,2313576,37344,926612,1637028,0,1637028,25891,1789,6033,71693,455,0,997,0,785329,8371973,0,2046285,408099,466151,1668331770,2355
8140856,7980692,23708,7850340,107540,1636,50988,1637028,646328,990700,26019,1789,6308,71698,458,0,1044,0,795221,9018421,105,2207838,424617,472786,1668331770,2357
8140856,7967312,21552,7833292,125200,2136,46208,1637028,1141444,495584,26050,1789,6585,71714,697,0,1141,0,964453,9685845,41746,2374688,470750,491354,1668331770,2359
8140856,7968136,30028,7833068,116372,1676,54672,1637028,1147176,489852,26066,1789,6811,71763,1088,0,1254,0,1304213,10020253,124566,2458290,499657,523430,1668331770,2361
8140856,7963244,31900,7828636,118616,1372,57624,1637028,1146032,490996,26079,1789,7011,71811,1520,0,1350,0,1620993,10344565,202886,2539366,527519,552390,1668331770,2363
8140856,7958860,37372,7825820,116744,972,64280,1637028,1148220,488808,26089,1789,7204,71949,1879,0,1475,0,1943957,10666549,281909,2619858,553188,579867,1668331770,2365
8140856,7948024,53072,7816156,109892,1212,81728,1637028,1169156,467872,26114,1789,7424,72019,2220,0,1595,0,2257589,10978493,355601,2697843,579415,609146,1668331770,2367
8140856,7929208,52980,7802268,125064,1220,85364,1637028,1188940,448088,26141,1789,7647,72076,2598,0,1696,0,2566641,11305489,431641,2779588,606473,639356,1668331770,2370
8140856,7936088,50968,7810392,118336,1216,85216,1637028,1187080,449948,26158,1789,7846,72132,3014,0,1799,0,2888441,11626497,511797,2859836,633889,668114,1668331770,2372
8140856,7936440,48236,7809332,120704,1200,82512,1637028,1188116,448912,26169,1789,8052,72188,3437,0,1897,0,3203553,11948093,590520,2940227,661493,696815,1668331770,2374
8140856,7940768,47096,7811296,119240,1172,79676,1637028,1181708,455320,26177,1789,8227,72338,3793,0,2011,0,3497925,12241065,664110,3013467,685484,722509,1668331770,2376
8140856,7941424,43412,7812856,121796,1164,76472,1637028,1180524,456504,26188,1789,8438,72429,4182,0,2114,0,3810025,12557877,742135,3092667,712105,749600,1668331770,2378
8140856,7944432,40368,7816268,121588,1172,73664,1637028,1177648,459380,26202,1789,8628,72530,4574,0,2225,0,4094485,12842501,813250,3163818,736125,775300,1668331770,2380
8140856,7940544,43140,7812196,122852,960,76500,1637028,1186500,450528,26222,1789,8838,72587,4976,0,2317,0,4345905,13099973,874816,3228176,758862,799676,1668331770,2382
8140856,7943036,41416,7815516,121852,952,75016,1637028,1190204,446824,26242,1789,9054,72648,5346,0,2448,0,4580593,13341801,933325,3288630,781623,822181,1668331770,2384
8140856,7939344,44800,7810812,123620,960,76932,1637028,1194344,442684,26253,1789,9246,72769,5718,0,2562,0,4875005,13639033,1006125,3362934,806592,848196,1668331770,2386
8140856,7944196,41940,7815604,120352,960,75348,1637028,1188968,448060,26262,1789,9438,72834,6138,0,2671,0,5133773,13898321,1070816,3427753,829955,873082,1668331770,2388
8140856,7942628,43780,7813304,120104,968,77156,1637028,1193360,443668,26274,1789,9632,72873,6589,0,2776,0,5302113,14075761,1112166,3472108,853252,898285,1668331770,2390
8140856,7943716,42940,7814684,120608,976,75556,1637028,1193344,443684,26288,1789,9802,73014,7020,0,2866,0,5557401,14333141,1175988,3536448,874449,922333,1668331770,2392
8140856,7943264,42152,7813508,122636,968,73988,1637028,1193984,443044,26294,1789,9978,73263,7338,0,2956,0,5822793,14601753,1242236,3603598,893878,945188,1668331770,2394
8140856,7942080,43296,7812760,123392,976,74408,1637028,1190808,446220,26306,1789,10161,73397,7742,0,3048,0,6034074,14814757,1294814,3656843,915902,970461,1668331770,2396
8140856,7947956,41292,7817188,119372,984,72544,1637028,1188568,448460,26315,1789,10350,73503,8132,0,3162,0,6276430,15060377,1355403,3718245,940581,995590,1668331770,2398
8140856,7934548,46980,7803220,128708,1252,76348,1637028,1199520,437508,26326,1789,10526,73651,8509,0,3269,0,6558182,15347953,1424165,3790134,963827,1020305,1668331770,2401
8140856,7943128,41516,7812672,124428,1064,72236,1637028,1189920,447108,26338,1789,10729,73757,8901,0,3385,0,6811350,15594429,1487455,3851692,988369,1045306,1668331770,2403
8140856,324216,46680,191068,7729636,1028,85976,1637028,412424,1224604,26354,1789,10850,74215,9088,0,3452,0,6911750,15678517,1507703,3872711,1003153,1060930,1668331770,2405
