procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
3,0,0,4147432,37700,3128516,0,0,490,1324,531,1395,22,7,41,1,0
0,0,0,4147432,37708,3128520,0,0,0,9,339,151,32,0,48,0,0
0,0,0,4147432,37708,3128440,0,0,0,0,330,118,26,0,33,0,0
2,0,0,4147432,37716,3128440,0,0,0,2,321,63,31,1,49,0,0
1,0,0,4147432,37716,3128440,0,0,0,0,295,43,36,0,44,0,0
0,0,0,4147432,37724,3128440,0,0,0,2,312,52,44,1,46,0,0
1,0,0,4147432,37724,3128440,0,0,0,29,349,70,37,1,32,0,0
0,0,0,4147432,37732,3128440,0,0,0,11,525,725,27,3,40,0,0
1,0,0,4147432,37740,3128440,0,0,0,4,368,130,38,1,41,0,0
1,0,0,4147432,37740,3128440,0,0,0,2,330,76,36,1,43,0,0
1,0,0,4147432,37748,3128440,0,0,0,2,336,47,38,1,31,0,0
0,0,0,4147432,37748,3128440,0,0,0,1,325,46,38,1,31,0,0
2,0,0,4147432,37756,3128440,0,0,0,2,321,48,31,1,38,0,0
0,0,0,4147432,37764,3128440,0,0,0,9,309,50,33,1,36,0,0
1,0,0,4147432,37772,3128432,0,0,0,10,308,71,34,1,35,0,0
1,0,0,4147432,37772,3128440,0,0,0,7,341,49,39,0,31,0,0
1,0,0,4147432,37780,3128440,0,0,0,2,338,46,35,0,35,0,0
2,0,0,4147432,37780,3128440,0,0,0,0,311,53,40,0,30,0,0
1,0,0,4147432,37788,3128440,0,0,0,2,326,56,24,0,35,0,0
2,0,0,4147432,37788,3128440,0,0,0,0,324,50,37,0,43,0,0
0,0,0,4147432,37796,3128440,0,0,0,2,332,45,37,0,42,0,0
3,0,0,4147432,37796,3128440,0,0,0,0,354,43,41,0,38,0,0
0,0,0,4147432,37804,3128440,0,0,0,4,328,47,35,1,44,0,0
2,0,0,4147432,37804,3128440,0,0,0,0,616,1040,29,4,48,0,0
0,0,0,4147432,37812,3126284,0,0,0,2,803,1828,10,3,46,0,0
